date;hour;km;time;pace;lat_start;long_start;lat_finish;long_finish
2021-03-16;09:25;24.79;123;12.1;50.70281702;4.3648217;50.92347688;4.41433903
2020-12-14;09:43;22.94;186;7.4;50.82855733;4.17395043;50.69545884;4.42237893
2021-08-14;16:59;21.66;162;8;50.88711284;3.99943018;50.83468775;4.2956456
2021-10-23;11:33;25.08;122;12.3;50.91107973;4.06081947;50.72121797;4.25278611
2021-10-11;00:44;28.19;229;7.4;50.92482737;4.08298301;50.73221272;4.34291321
2021-05-16;13:57;51.73;296;10.5;50.96387431;4.62340237;50.72369161;3.99442237
2020-12-17;23:36;39.2;235;10;50.74038475;3.98344946;50.71364284;4.53707579
2021-08-30;11:09;21.17;120;10.6;50.8914649;4.19397192;50.8014104;4.45884972
2021-07-08;20:14;8.73;57;9.2;50.70207467;4.65848107;50.77614186;4.61778262
2020-11-12;01:49;37.28;334;6.7;50.76855804;4.06547269;50.71363914;4.58649448
2021-08-05;17:52;17.55;142;7.4;50.82234;4.57803678;50.96031311;4.45705824
2020-12-08;10:58;22.77;182;7.5;50.80284036;4.16578398;50.96581902;4.36146036
2021-02-24;21:20;34.97;231;9.1;50.73060854;4.60951891;50.93534497;4.23290508
2021-06-03;08:17;17.5;96;10.9;50.75726613;4.59588846;50.91003396;4.53673912
2021-05-28;02:27;15.71;126;7.5;50.69810711;4.26760126;50.83764539;4.30191642
2021-10-14;00:18;5.72;27;12.7;50.96080804;3.99989553;50.94982837;4.07935782
2021-10-04;16:02;14.06;83;10.2;50.82418196;4.42143773;50.94999501;4.44028283
2021-01-22;22:07;23.29;110;12.7;50.91401331;4.04653272;50.70543319;4.0181156
2021-07-25;21:54;16.17;97;10;50.85187706;4.65506426;50.85459646;4.42545713
2021-05-11;22:45;18.79;131;8.6;50.68971713;4.21742518;50.84225047;4.33194727
2021-06-03;22:37;28.28;170;10;50.77713826;4.13260806;50.71066433;4.51933535
2021-10-20;05:35;0.84;7;7.2;50.72048013;4.4148538;50.7249249;4.40522857
2020-11-04;13:37;38.5;206;11.2;50.75143928;4.54133566;50.90817498;4.05419593
2021-09-05;11:22;18.15;117;9.3;50.7960629;4.34403723;50.85590015;4.5837369
2021-02-25;01:32;26.81;204;7.9;50.7563935;4.51463595;50.90603424;4.21632095
2021-05-03;08:44;8.35;41;12.3;50.77514953;4.14154599;50.80456801;4.03262601
2021-08-20;16:53;18.68;100;11.2;50.69790342;4.63222357;50.75725816;4.38470046
2021-03-03;16:02;29.33;193;9.1;50.94099996;4.39872923;50.87115671;3.99665743
2021-03-22;08:11;27.79;265;6.3;50.94325658;4.20377476;50.70957221;4.34333612
2021-01-28;02:21;31.12;164;11.4;50.70363717;4.38415655;50.88441627;4.04741776
2021-03-17;00:51;24.32;125;11.7;50.74479958;4.11450749;50.85994745;4.407701
2021-08-30;16:41;13.55;96;8.5;50.81527934;4.61216942;50.92525181;4.529547
2021-09-15;13:28;2.12;20;6.4;50.96387716;4.51403026;50.96180852;4.48408085
2021-04-28;05:56;12.3;72;10.2;50.87235356;4.65526329;50.76189827;4.6478339
2021-01-11;22:26;29.94;260;6.9;50.73248454;4.50032161;50.72396119;4.07645356
2021-02-26;08:39;30.61;301;6.1;50.96300092;4.59976189;50.83959997;4.21081417
2020-11-26;16:54;38.66;264;8.8;50.72097246;4.17235552;50.86693579;4.66987755
2021-02-14;03:12;21.7;174;7.5;50.89002282;4.37525573;50.92600104;4.67843563
2021-03-30;00:10;19.6;100;11.8;50.79975064;4.38735835;50.88558395;4.14428437
2021-08-23;12:18;3.3;33;6;50.81772186;4.64383815;50.78821515;4.63886349
2021-01-10;19:24;7.28;39;11.3;50.90071532;4.48433818;50.95391045;4.4240699
2021-01-22;16:45;8.78;55;9.6;50.78348669;4.012946;50.71833807;4.08309554
2021-10-27;06:02;25.55;133;11.5;50.70727098;4.63422717;50.81460223;4.31403293
2020-11-29;00:48;36.76;182;12.1;50.77309413;3.99927642;50.70680683;4.50948213
2021-02-27;03:58;20.29;108;11.3;50.90960903;4.24059844;50.75342756;4.38939119
2021-05-25;08:07;12.44;72;10.4;50.79739835;4.60107569;50.69636089;4.52551422
2021-03-30;00:53;23;135;10.2;50.76946428;4.00093766;50.88134677;4.27546679
2021-09-08;14:14;36.84;177;12.5;50.77480821;4.12975677;50.73256543;4.64759794
2021-02-24;10:33;32.81;184;10.7;50.87020464;4.08994892;50.86398427;4.55587179
2021-08-21;16:40;30.82;210;8.8;50.72841535;4.63149199;50.87578626;4.26123728
