date;hour;km;time;pace;lat_start;long_start;lat_finish;long_finish
2020-12-23;17:52;17.55;87;12.1;50.82234;4.57803678;50.96031311;4.45705824
2021-05-01;10:58;22.77;185;7.4;50.80284036;4.16578398;50.96581902;4.36146036
2020-11-04;21:20;34.97;262;8;50.73060854;4.60951891;50.93534497;4.23290508
2021-11-03;08:17;17.5;85;12.3;50.75726613;4.59588846;50.91003396;4.53673912
2021-03-24;02:27;15.71;127;7.4;50.69810711;4.26760126;50.83764539;4.30191642
2021-06-05;00:18;5.72;33;10.5;50.96080804;3.99989553;50.94982837;4.07935782
2020-11-08;16:02;14.06;84;10;50.82418196;4.42143773;50.94999501;4.44028283
2021-01-15;22:07;23.29;132;10.6;50.91401331;4.04653272;50.70543319;4.0181156
2021-02-25;21:54;16.17;105;9.2;50.85187706;4.65506426;50.85459646;4.42545713
2021-08-30;22:45;18.79;168;6.7;50.68971713;4.21742518;50.84225047;4.33194727
2021-10-23;22:37;28.28;229;7.4;50.77713826;4.13260806;50.71066433;4.51933535
2021-03-07;05:35;0.84;7;7.5;50.72048013;4.4148538;50.7249249;4.40522857
2021-03-10;13:37;38.5;254;9.1;50.75143928;4.54133566;50.90817498;4.05419593
2021-06-02;11:22;18.15;100;10.9;50.7960629;4.34403723;50.85590015;4.5837369
2021-06-19;01:32;26.81;214;7.5;50.7563935;4.51463595;50.90603424;4.21632095
2021-06-14;08:44;8.35;39;12.7;50.77514953;4.14154599;50.80456801;4.03262601
2021-06-16;16:53;18.68;110;10.2;50.69790342;4.63222357;50.75725816;4.38470046
2020-12-19;16:02;29.33;139;12.7;50.94099996;4.39872923;50.87115671;3.99665743
2020-11-12;08:11;27.79;167;10;50.94325658;4.20377476;50.70957221;4.34333612
2021-01-18;02:21;31.12;217;8.6;50.70363717;4.38415655;50.88441627;4.04741776
2021-01-20;00:51;24.32;146;10;50.74479958;4.11450749;50.85994745;4.407701
2021-02-15;16:41;13.55;113;7.2;50.81527934;4.61216942;50.92525181;4.529547
2020-12-04;13:28;2.12;11;11.2;50.96387716;4.51403026;50.96180852;4.48408085
2021-05-16;05:56;12.3;79;9.3;50.87235356;4.65526329;50.76189827;4.6478339
2021-03-06;22:26;29.94;227;7.9;50.73248454;4.50032161;50.72396119;4.07645356
2020-12-24;08:39;30.61;149;12.3;50.96300092;4.59976189;50.83959997;4.21081417
2021-10-07;16:54;38.66;207;11.2;50.72097246;4.17235552;50.86693579;4.66987755
2021-01-08;03:12;21.7;143;9.1;50.89002282;4.37525573;50.92600104;4.67843563
2021-02-01;00:10;19.6;187;6.3;50.79975064;4.38735835;50.88558395;4.14428437
2020-12-19;12:18;3.3;17;11.4;50.81772186;4.64383815;50.78821515;4.63886349
2021-03-27;19:24;7.28;37;11.7;50.90071532;4.48433818;50.95391045;4.4240699
2021-06-23;16:45;8.78;62;8.5;50.78348669;4.012946;50.71833807;4.08309554
2021-09-15;06:02;25.55;240;6.4;50.70727098;4.63422717;50.81460223;4.31403293
2021-02-09;00:48;36.76;216;10.2;50.77309413;3.99927642;50.70680683;4.50948213
2021-03-07;03:58;20.29;176;6.9;50.90960903;4.24059844;50.75342756;4.38939119
2021-07-15;08:07;12.44;122;6.1;50.79739835;4.60107569;50.69636089;4.52551422
2020-12-09;00:53;23;157;8.8;50.76946428;4.00093766;50.88134677;4.27546679
2021-06-08;14:14;36.84;295;7.5;50.77480821;4.12975677;50.73256543;4.64759794
2020-11-13;10:33;32.81;167;11.8;50.87020464;4.08994892;50.86398427;4.55587179
2021-06-30;16:40;30.82;308;6;50.72841535;4.63149199;50.87578626;4.26123728
2021-10-15;15:42;16.46;87;11.3;50.8975229;4.41731068;50.75338973;4.36420926
2021-02-23;02:23;24.46;153;9.6;50.85340595;4.63798937;50.70814934;4.37755679
2021-10-07;00:22;11.85;62;11.5;50.90177973;4.66919685;50.81762591;4.56608053
2020-12-01;18:48;36.88;183;12.1;50.83125381;3.9703457;50.76660602;4.48346264
2021-04-11;08:40;8.54;45;11.3;50.69532359;4.0216755;50.77136383;4.00523392
2020-12-17;00:50;15.67;90;10.4;50.9576334;4.2011498;50.82463741;4.27432081
2021-11-02;05:15;4.81;28;10.2;50.81592418;4.19772736;50.80738852;4.26469265
2021-09-24;06:10;20.24;97;12.5;50.84824672;4.35946284;50.82492878;4.07452837
2020-11-28;22:31;28.46;160;10.7;50.71989787;4.23631254;50.94880622;4.41660139
2021-04-28;01:23;1.99;14;8.8;50.85476206;4.02213822;50.859296;4.04952392
